Regulon	CellType	RelativeActivity
156	JUND(+)	CD14_monos_HC_no_chr21amp	0.210193560252951
157	KDM5A(+)	CD14_monos_HC_no_chr21amp	0.349761639214938
159	KLF10(+)	CD14_monos_HC_no_chr21amp	1.4347612245425
160	KLF11(+)	CD14_monos_HC_no_chr21amp	1.5810353880926
161	KLF13(+)	CD14_monos_HC_no_chr21amp	1.48616874899688
163	KLF16(+)	CD14_monos_HC_no_chr21amp	0.626153945374151
164	KLF2(+)	CD14_monos_HC_no_chr21amp	0.837174985196415
165	KLF3(+)	CD14_monos_HC_no_chr21amp	0.659025861034641
166	KLF4(+)	CD14_monos_HC_no_chr21amp	1.5627382679947
168	KLF6(+)	CD14_monos_HC_no_chr21amp	0.836196608232623
169	KLF9(+)	CD14_monos_HC_no_chr21amp	1.67421697973698
171	LEF1(+)	CD14_monos_HC_no_chr21amp	0.594550670300728
172	LHX6(+)	CD14_monos_HC_no_chr21amp	0.618194682710147
173	LTF(+)	CD14_monos_HC_no_chr21amp	0.63394135085114
175	MAFA(+)	CD14_monos_HC_no_chr21amp	1.3713337026877
176	MAFB(+)	CD14_monos_HC_no_chr21amp	1.77903928057198
177	MAFF(+)	CD14_monos_HC_no_chr21amp	0.991389420973137
178	MAFG(+)	CD14_monos_HC_no_chr21amp	1.72754853808345
179	MAFK(+)	CD14_monos_HC_no_chr21amp	2.17972790161534
182	MECP2(+)	CD14_monos_HC_no_chr21amp	1.52863157211908
183	MEF2A(+)	CD14_monos_HC_no_chr21amp	1.68872974333547
187	MLX(+)	CD14_monos_HC_no_chr21amp	1.60509410666838
188	MLXIPL(+)	CD14_monos_HC_no_chr21amp	1.91478081339522
189	MSC(+)	CD14_monos_HC_no_chr21amp	2.13450236068518
190	MSX1(+)	CD14_monos_HC_no_chr21amp	0.619983599636021
192	MTF1(+)	CD14_monos_HC_no_chr21amp	1.06948211689517
193	MXD4(+)	CD14_monos_HC_no_chr21amp	0.129965170240824
196	MYBL1(+)	CD14_monos_HC_no_chr21amp	0.76022831734164
200	NFATC1(+)	CD14_monos_HC_no_chr21amp	1.05089227576228
205	NFIC(+)	CD14_monos_HC_no_chr21amp	1.58597610227002
206	NFIL3(+)	CD14_monos_HC_no_chr21amp	1.692228329068
207	NFKB1(+)	CD14_monos_HC_no_chr21amp	1.19927256135924
208	NFKB2(+)	CD14_monos_HC_no_chr21amp	1.64729093138815
209	NFYA(+)	CD14_monos_HC_no_chr21amp	0.200133968706635
211	NKX3-1(+)	CD14_monos_HC_no_chr21amp	0.0965991917367496
212	NR1D1(+)	CD14_monos_HC_no_chr21amp	1.46045511781396
213	NR2C1(+)	CD14_monos_HC_no_chr21amp	1.2761027477993
216	NRF1(+)	CD14_monos_HC_no_chr21amp	0.884175563778292
218	OSR2(+)	CD14_monos_HC_no_chr21amp	0.654695407488433
219	PATZ1(+)	CD14_monos_HC_no_chr21amp	0.957052000838973
221	PAX9(+)	CD14_monos_HC_no_chr21amp	0.990532309454478
224	PBX4(+)	CD14_monos_HC_no_chr21amp	1.14722445518078
225	PDLIM5(+)	CD14_monos_HC_no_chr21amp	1.14227783100093
226	PHF8(+)	CD14_monos_HC_no_chr21amp	0.826708572035434
227	PKNOX1(+)	CD14_monos_HC_no_chr21amp	1.1234168488824
228	PML(+)	CD14_monos_HC_no_chr21amp	0.306454028981786
230	POLE4(+)	CD14_monos_HC_no_chr21amp	0.397676317487461
