Regulon	CellType	RelativeActivity
1766	RFX2(+)	CD16_monos_MPNAML_chr21amp	2.07669220856232
1767	RFX3(+)	CD16_monos_MPNAML_chr21amp	0.627497035755146
1771	RREB1(+)	CD16_monos_MPNAML_chr21amp	0.800813695064711
1773	RUNX3(+)	CD16_monos_MPNAML_chr21amp	1.80763315650802
1774	RXRA(+)	CD16_monos_MPNAML_chr21amp	2.0789373037837
1776	SCRT2(+)	CD16_monos_MPNAML_chr21amp	0.203192531759627
1777	SETBP1(+)	CD16_monos_MPNAML_chr21amp	0.0366371596605954
1779	SIRT6(+)	CD16_monos_MPNAML_chr21amp	1.27400426338717
1782	SMAD1(+)	CD16_monos_MPNAML_chr21amp	0.21981300872668
1783	SMAD7(+)	CD16_monos_MPNAML_chr21amp	0.814608916357382
1785	SNAI3(+)	CD16_monos_MPNAML_chr21amp	0.777706795206032
1787	SOX15(+)	CD16_monos_MPNAML_chr21amp	2.67070321706523
1790	SOX5(+)	CD16_monos_MPNAML_chr21amp	0.0902471061226138
1793	SOX8(+)	CD16_monos_MPNAML_chr21amp	2.36054127402606
1794	SP3(+)	CD16_monos_MPNAML_chr21amp	0.929140241335041
1795	SP4(+)	CD16_monos_MPNAML_chr21amp	0.280908818876671
1796	SPDEF(+)	CD16_monos_MPNAML_chr21amp	1.28498479032449
1797	SPI1(+)	CD16_monos_MPNAML_chr21amp	1.86675349576372
1798	SPIB(+)	CD16_monos_MPNAML_chr21amp	1.79683467896344
1800	SREBF2(+)	CD16_monos_MPNAML_chr21amp	0.986844623541707
1801	SRF(+)	CD16_monos_MPNAML_chr21amp	2.21667618002371
1802	STAT1(+)	CD16_monos_MPNAML_chr21amp	1.63940613046597
1803	STAT2(+)	CD16_monos_MPNAML_chr21amp	2.25827020632398
1804	STAT3(+)	CD16_monos_MPNAML_chr21amp	0.421618096540032
1808	STAT6(+)	CD16_monos_MPNAML_chr21amp	1.48418852152638
1809	SUPT20H(+)	CD16_monos_MPNAML_chr21amp	0.15170231050498
1815	TBX21(+)	CD16_monos_MPNAML_chr21amp	1.74111905748045
1818	TCF15(+)	CD16_monos_MPNAML_chr21amp	0.224315430859598
1821	TCF7L2(+)	CD16_monos_MPNAML_chr21amp	1.5524630056182
1824	TEAD4(+)	CD16_monos_MPNAML_chr21amp	2.63345138708014
1826	TFCP2L1(+)	CD16_monos_MPNAML_chr21amp	0.221075007690121
1829	TFEB(+)	CD16_monos_MPNAML_chr21amp	2.11531092711048
1830	THRA(+)	CD16_monos_MPNAML_chr21amp	2.20573640179739
1834	USF1(+)	CD16_monos_MPNAML_chr21amp	1.74760814756643
1835	USF2(+)	CD16_monos_MPNAML_chr21amp	2.60414088512054
1836	VDR(+)	CD16_monos_MPNAML_chr21amp	2.00242137154111
1837	VENTX(+)	CD16_monos_MPNAML_chr21amp	1.89929936321171
1839	WRNIP1(+)	CD16_monos_MPNAML_chr21amp	0.35637940130663
1841	XBP1(+)	CD16_monos_MPNAML_chr21amp	0.367287019214294
1842	XRCC4(+)	CD16_monos_MPNAML_chr21amp	0.327917173464438
1846	ZBTB33(+)	CD16_monos_MPNAML_chr21amp	0.242790131977394
1848	ZBTB7A(+)	CD16_monos_MPNAML_chr21amp	2.11214361054308
1849	ZBTB7B(+)	CD16_monos_MPNAML_chr21amp	2.22283878620032
1850	ZEB1(+)	CD16_monos_MPNAML_chr21amp	0.0469315568729584
1853	ZFX(+)	CD16_monos_MPNAML_chr21amp	1.41071999920548
1854	ZMIZ1(+)	CD16_monos_MPNAML_chr21amp	1.25805373774193
1856	ZNF136(+)	CD16_monos_MPNAML_chr21amp	0.0545518365538512
1857	ZNF143(+)	CD16_monos_MPNAML_chr21amp	1.31798095300872
1864	ZNF322(+)	CD16_monos_MPNAML_chr21amp	0.746501189296477
1866	ZNF366(+)	CD16_monos_MPNAML_chr21amp	2.04082098745905
1868	ZNF443(+)	CD16_monos_MPNAML_chr21amp	2.46006858797026
1869	ZNF467(+)	CD16_monos_MPNAML_chr21amp	2.15111041283295
1875	ZNF697(+)	CD16_monos_MPNAML_chr21amp	0.0249634630165997
1877	ZNF787(+)	CD16_monos_MPNAML_chr21amp	2.42930799094978
1878	ZNF821(+)	CD16_monos_MPNAML_chr21amp	0.745275404300501
1879	ZRSR2(+)	CD16_monos_MPNAML_chr21amp	1.54910176945911
1881	AHRR(+)	CD16_monos_MPNAML_no_chr21amp	1.80475925143252
1882	AKR1A1(+)	CD16_monos_MPNAML_no_chr21amp	0.591816965548113
1884	ARID3A(+)	CD16_monos_MPNAML_no_chr21amp	1.07186197340481
1887	ASCL2(+)	CD16_monos_MPNAML_no_chr21amp	3.39110068897703
1888	ATF1(+)	CD16_monos_MPNAML_no_chr21amp	0.219363209092018
1890	ATF3(+)	CD16_monos_MPNAML_no_chr21amp	1.52213601615385
1891	ATF4(+)	CD16_monos_MPNAML_no_chr21amp	1.3854609867338
1892	ATF5(+)	CD16_monos_MPNAML_no_chr21amp	3.08640840538585
1894	BACH1(+)	CD16_monos_MPNAML_no_chr21amp	1.69813355790724
1895	BATF(+)	CD16_monos_MPNAML_no_chr21amp	1.27288120459686
1896	BATF3(+)	CD16_monos_MPNAML_no_chr21amp	2.71022864104326
1897	BCL11A(+)	CD16_monos_MPNAML_no_chr21amp	0.0887142946714685
1898	BCL3(+)	CD16_monos_MPNAML_no_chr21amp	1.80564180617446
1899	BCL6(+)	CD16_monos_MPNAML_no_chr21amp	1.28493846548457
1902	BHLHE40(+)	CD16_monos_MPNAML_no_chr21amp	1.97777055116835
1904	BRF1(+)	CD16_monos_MPNAML_no_chr21amp	0.200960947984665
1905	CEBPA(+)	CD16_monos_MPNAML_no_chr21amp	0.857152761520672
1906	CEBPB(+)	CD16_monos_MPNAML_no_chr21amp	1.85894996856406
1907	CEBPD(+)	CD16_monos_MPNAML_no_chr21amp	1.82780429113402
1909	CEBPG(+)	CD16_monos_MPNAML_no_chr21amp	0.874358863386367
1910	CENPB(+)	CD16_monos_MPNAML_no_chr21amp	0.184257933105838
1911	CERS5(+)	CD16_monos_MPNAML_no_chr21amp	0.290161795255134
1912	CHD1(+)	CD16_monos_MPNAML_no_chr21amp	0.875171474165004
1917	CREB3(+)	CD16_monos_MPNAML_no_chr21amp	1.74358115186671
1918	CREB3L1(+)	CD16_monos_MPNAML_no_chr21amp	2.72170439100846
1920	CREB5(+)	CD16_monos_MPNAML_no_chr21amp	0.897898338162486
1921	CREM(+)	CD16_monos_MPNAML_no_chr21amp	1.42987333807235
1922	CSNK2B(+)	CD16_monos_MPNAML_no_chr21amp	0.862861917990349
1924	CUX1(+)	CD16_monos_MPNAML_no_chr21amp	0.261969632479094
1925	CYB5R1(+)	CD16_monos_MPNAML_no_chr21amp	1.00687658397137
1926	DBP(+)	CD16_monos_MPNAML_no_chr21amp	2.08681794474612
1927	DDIT3(+)	CD16_monos_MPNAML_no_chr21amp	1.32859639032953
1932	E2F3(+)	CD16_monos_MPNAML_no_chr21amp	0.731480696858553
1937	EGR1(+)	CD16_monos_MPNAML_no_chr21amp	2.22847755004604
1938	EGR2(+)	CD16_monos_MPNAML_no_chr21amp	3.98022589617744
1939	EGR3(+)	CD16_monos_MPNAML_no_chr21amp	3.19701518846248
1940	EGR4(+)	CD16_monos_MPNAML_no_chr21amp	1.88362162509075
1941	ELF1(+)	CD16_monos_MPNAML_no_chr21amp	0.514993151630658
1942	ELF2(+)	CD16_monos_MPNAML_no_chr21amp	0.74725012265162
1943	ELF3(+)	CD16_monos_MPNAML_no_chr21amp	1.5622772392168
1944	ELF4(+)	CD16_monos_MPNAML_no_chr21amp	1.91496036569244
1945	ELK3(+)	CD16_monos_MPNAML_no_chr21amp	0.88094701906295
1947	EOMES(+)	CD16_monos_MPNAML_no_chr21amp	1.89467548596689
1948	EP300(+)	CD16_monos_MPNAML_no_chr21amp	0.78181431956311
1949	ESRRA(+)	CD16_monos_MPNAML_no_chr21amp	2.21351877970893
1950	ETS1(+)	CD16_monos_MPNAML_no_chr21amp	0.282287374391102
1953	ETV3(+)	CD16_monos_MPNAML_no_chr21amp	2.03362881133123
1955	ETV6(+)	CD16_monos_MPNAML_no_chr21amp	0.657470413486142
1956	ETV7(+)	CD16_monos_MPNAML_no_chr21amp	3.0738287547454
1958	FLI1(+)	CD16_monos_MPNAML_no_chr21amp	0.359005037495469
1959	FOS(+)	CD16_monos_MPNAML_no_chr21amp	2.02072948960101
1960	FOSB(+)	CD16_monos_MPNAML_no_chr21amp	1.61683121075685
1961	FOSL1(+)	CD16_monos_MPNAML_no_chr21amp	1.5154033199313
1962	FOSL2(+)	CD16_monos_MPNAML_no_chr21amp	1.81103354359062
1963	FOXB1(+)	CD16_monos_MPNAML_no_chr21amp	1.94837356610074
1968	FOXJ2(+)	CD16_monos_MPNAML_no_chr21amp	2.13584925883673
1970	FOXK1(+)	CD16_monos_MPNAML_no_chr21amp	1.64808102320972
1971	FOXK2(+)	CD16_monos_MPNAML_no_chr21amp	0.566906537940853
1973	FOXN2(+)	CD16_monos_MPNAML_no_chr21amp	2.08575811177831
1975	FOXO1(+)	CD16_monos_MPNAML_no_chr21amp	1.64311962363223
1976	FOXO3(+)	CD16_monos_MPNAML_no_chr21amp	1.07746409289936
1978	FOXO6(+)	CD16_monos_MPNAML_no_chr21amp	0.69527908333932
1981	FOXP4(+)	CD16_monos_MPNAML_no_chr21amp	2.43324011479741
1986	GLI3(+)	CD16_monos_MPNAML_no_chr21amp	0.208643512856469
1987	GLIS2(+)	CD16_monos_MPNAML_no_chr21amp	2.3372555487738
1989	GRHPR(+)	CD16_monos_MPNAML_no_chr21amp	0.0490226242740677
1990	GSC(+)	CD16_monos_MPNAML_no_chr21amp	0.449682841554619
1991	GTF2B(+)	CD16_monos_MPNAML_no_chr21amp	0.028374602892875
1992	GTF2F1(+)	CD16_monos_MPNAML_no_chr21amp	0.564598117759551
1993	GTF2IRD1(+)	CD16_monos_MPNAML_no_chr21amp	1.91814171737505
1998	HES4(+)	CD16_monos_MPNAML_no_chr21amp	1.92003203423444
2001	HIC1(+)	CD16_monos_MPNAML_no_chr21amp	1.9796842870177
2002	HIC2(+)	CD16_monos_MPNAML_no_chr21amp	0.876788536882215
2003	HIVEP2(+)	CD16_monos_MPNAML_no_chr21amp	0.474923963619987
2004	HMGA1(+)	CD16_monos_MPNAML_no_chr21amp	0.0515587982268271
2011	HOXA4(+)	CD16_monos_MPNAML_no_chr21amp	0.242907055471462
2015	HOXB2(+)	CD16_monos_MPNAML_no_chr21amp	0.85467984678614
2017	HOXB6(+)	CD16_monos_MPNAML_no_chr21amp	0.403552520278671
2018	HOXB9(+)	CD16_monos_MPNAML_no_chr21amp	0.308204358748534
2020	HSPA5(+)	CD16_monos_MPNAML_no_chr21amp	0.319270445692497
2021	IKZF1(+)	CD16_monos_MPNAML_no_chr21amp	0.466002540713263
2023	IRF1(+)	CD16_monos_MPNAML_no_chr21amp	1.07550276938373
2024	IRF2(+)	CD16_monos_MPNAML_no_chr21amp	1.63962758667026
2025	IRF4(+)	CD16_monos_MPNAML_no_chr21amp	2.03175769738978
2026	IRF5(+)	CD16_monos_MPNAML_no_chr21amp	2.2706671608286
2027	IRF7(+)	CD16_monos_MPNAML_no_chr21amp	2.45051585380101
2028	IRF8(+)	CD16_monos_MPNAML_no_chr21amp	1.98400659064387
2030	IRX2(+)	CD16_monos_MPNAML_no_chr21amp	0.195504221506205
2032	ISL2(+)	CD16_monos_MPNAML_no_chr21amp	1.40519695720731
2033	JDP2(+)	CD16_monos_MPNAML_no_chr21amp	1.10684255221095
2034	JUN(+)	CD16_monos_MPNAML_no_chr21amp	0.638196637075643
2035	JUNB(+)	CD16_monos_MPNAML_no_chr21amp	2.11072250609287
2036	JUND(+)	CD16_monos_MPNAML_no_chr21amp	0.370190096707642
2039	KLF10(+)	CD16_monos_MPNAML_no_chr21amp	2.25373956691922
2040	KLF11(+)	CD16_monos_MPNAML_no_chr21amp	2.91024046041381
2041	KLF13(+)	CD16_monos_MPNAML_no_chr21amp	1.84776418370276
2043	KLF16(+)	CD16_monos_MPNAML_no_chr21amp	1.44220826396685
2044	KLF2(+)	CD16_monos_MPNAML_no_chr21amp	1.9724361362527
2045	KLF3(+)	CD16_monos_MPNAML_no_chr21amp	0.860535294576476
2046	KLF4(+)	CD16_monos_MPNAML_no_chr21amp	2.1421932047843
2048	KLF6(+)	CD16_monos_MPNAML_no_chr21amp	2.30998076031395
2049	KLF9(+)	CD16_monos_MPNAML_no_chr21amp	1.04146858230352
2051	LEF1(+)	CD16_monos_MPNAML_no_chr21amp	0.179258279018689
2052	LHX6(+)	CD16_monos_MPNAML_no_chr21amp	1.82408451830045
2053	LTF(+)	CD16_monos_MPNAML_no_chr21amp	0.298899178331373
2055	MAFA(+)	CD16_monos_MPNAML_no_chr21amp	1.85787963616045
2056	MAFB(+)	CD16_monos_MPNAML_no_chr21amp	2.02813054308099
2057	MAFF(+)	CD16_monos_MPNAML_no_chr21amp	0.789859781717525
2058	MAFG(+)	CD16_monos_MPNAML_no_chr21amp	1.80551111095551
2059	MAFK(+)	CD16_monos_MPNAML_no_chr21amp	1.01727500312903
2062	MECP2(+)	CD16_monos_MPNAML_no_chr21amp	1.04012045384296
2063	MEF2A(+)	CD16_monos_MPNAML_no_chr21amp	1.51017467340424
2066	MIXL1(+)	CD16_monos_MPNAML_no_chr21amp	1.62017814002416
2067	MLX(+)	CD16_monos_MPNAML_no_chr21amp	1.96472340528619
2068	MLXIPL(+)	CD16_monos_MPNAML_no_chr21amp	1.78263408192677
2069	MSC(+)	CD16_monos_MPNAML_no_chr21amp	1.43286060953558
2070	MSX1(+)	CD16_monos_MPNAML_no_chr21amp	1.55872363429776
2071	MTA3(+)	CD16_monos_MPNAML_no_chr21amp	0.329818848875216
2072	MTF1(+)	CD16_monos_MPNAML_no_chr21amp	1.10441927524557
2076	MYBL1(+)	CD16_monos_MPNAML_no_chr21amp	0.345085773098435
2080	NFATC1(+)	CD16_monos_MPNAML_no_chr21amp	1.25838844416575
2081	NFATC2(+)	CD16_monos_MPNAML_no_chr21amp	0.334851679572575
2085	NFIC(+)	CD16_monos_MPNAML_no_chr21amp	0.715950062979458
2086	NFIL3(+)	CD16_monos_MPNAML_no_chr21amp	1.87825453190386
2087	NFKB1(+)	CD16_monos_MPNAML_no_chr21amp	1.31057975625095
2088	NFKB2(+)	CD16_monos_MPNAML_no_chr21amp	1.47898209990078
2089	NFYA(+)	CD16_monos_MPNAML_no_chr21amp	0.852290735889113
2091	NKX3-1(+)	CD16_monos_MPNAML_no_chr21amp	0.0511051998306231
2092	NR1D1(+)	CD16_monos_MPNAML_no_chr21amp	2.66378906823246
2094	NR2F6(+)	CD16_monos_MPNAML_no_chr21amp	1.57614279722743
2096	NRF1(+)	CD16_monos_MPNAML_no_chr21amp	0.121909265158793
2098	OSR2(+)	CD16_monos_MPNAML_no_chr21amp	3.34723216782099
2099	PATZ1(+)	CD16_monos_MPNAML_no_chr21amp	0.237675018633155
2100	PAX5(+)	CD16_monos_MPNAML_no_chr21amp	0.470439212111723
2101	PAX9(+)	CD16_monos_MPNAML_no_chr21amp	0.618110340887063
2104	PBX4(+)	CD16_monos_MPNAML_no_chr21amp	1.6014071657853
2105	PDLIM5(+)	CD16_monos_MPNAML_no_chr21amp	1.37557911394591
2108	PML(+)	CD16_monos_MPNAML_no_chr21amp	1.64799544315735
2110	POLE4(+)	CD16_monos_MPNAML_no_chr21amp	1.93841333395364
2115	POU2AF1(+)	CD16_monos_MPNAML_no_chr21amp	0.0927536032745328
2117	POU2F2(+)	CD16_monos_MPNAML_no_chr21amp	1.1883436167515
2120	POU6F1(+)	CD16_monos_MPNAML_no_chr21amp	0.882334481546235
2121	PPARA(+)	CD16_monos_MPNAML_no_chr21amp	0.649770502109823
2122	PPARD(+)	CD16_monos_MPNAML_no_chr21amp	1.09242161212022
2123	PPARG(+)	CD16_monos_MPNAML_no_chr21amp	1.54532484232559
2124	PPARGC1A(+)	CD16_monos_MPNAML_no_chr21amp	1.5142284266668
2125	PRDM1(+)	CD16_monos_MPNAML_no_chr21amp	2.2230164638321
2126	PRDM16(+)	CD16_monos_MPNAML_no_chr21amp	0.0747183281876274
2132	RARA(+)	CD16_monos_MPNAML_no_chr21amp	1.92418965837355
2134	RARG(+)	CD16_monos_MPNAML_no_chr21amp	2.35469999517131
2136	RCOR1(+)	CD16_monos_MPNAML_no_chr21amp	1.72353727367091
2137	REL(+)	CD16_monos_MPNAML_no_chr21amp	1.70480261878995
2138	RELA(+)	CD16_monos_MPNAML_no_chr21amp	1.6415225160133
2139	RELB(+)	CD16_monos_MPNAML_no_chr21amp	1.21891922836217
2141	RFX1(+)	CD16_monos_MPNAML_no_chr21amp	0.266482133904878
2142	RFX2(+)	CD16_monos_MPNAML_no_chr21amp	2.04771176828254
2143	RFX3(+)	CD16_monos_MPNAML_no_chr21amp	0.469393758147154
2144	RFX5(+)	CD16_monos_MPNAML_no_chr21amp	0.479394745029801
2145	RFXANK(+)	CD16_monos_MPNAML_no_chr21amp	0.1217141407033
2147	RREB1(+)	CD16_monos_MPNAML_no_chr21amp	0.613776638940972
2149	RUNX3(+)	CD16_monos_MPNAML_no_chr21amp	2.29483697447524
2150	RXRA(+)	CD16_monos_MPNAML_no_chr21amp	1.97897540614024
2154	SIN3A(+)	CD16_monos_MPNAML_no_chr21amp	0.102800171257373
2155	SIRT6(+)	CD16_monos_MPNAML_no_chr21amp	0.926954668361904
2159	SMAD7(+)	CD16_monos_MPNAML_no_chr21amp	2.16929260944276
2161	SNAI3(+)	CD16_monos_MPNAML_no_chr21amp	1.52161727136814
2163	SOX15(+)	CD16_monos_MPNAML_no_chr21amp	1.34805433564651
2166	SOX5(+)	CD16_monos_MPNAML_no_chr21amp	1.52139943327062
2169	SOX8(+)	CD16_monos_MPNAML_no_chr21amp	1.08763055906581
2170	SP3(+)	CD16_monos_MPNAML_no_chr21amp	1.03937108577886
2171	SP4(+)	CD16_monos_MPNAML_no_chr21amp	0.0460483899973019
2173	SPI1(+)	CD16_monos_MPNAML_no_chr21amp	1.86574478461556
2174	SPIB(+)	CD16_monos_MPNAML_no_chr21amp	2.08147896897923
2176	SREBF2(+)	CD16_monos_MPNAML_no_chr21amp	0.284967330160492
2177	SRF(+)	CD16_monos_MPNAML_no_chr21amp	1.27982570644366
2178	STAT1(+)	CD16_monos_MPNAML_no_chr21amp	1.48095755430683
2179	STAT2(+)	CD16_monos_MPNAML_no_chr21amp	1.85911854419396
2180	STAT3(+)	CD16_monos_MPNAML_no_chr21amp	0.26133094160683
2184	STAT6(+)	CD16_monos_MPNAML_no_chr21amp	2.58966751023092
2191	TBX21(+)	CD16_monos_MPNAML_no_chr21amp	2.41090693955895
2194	TCF15(+)	CD16_monos_MPNAML_no_chr21amp	1.66241492165078
2197	TCF7L2(+)	CD16_monos_MPNAML_no_chr21amp	1.2976112504906
2200	TEAD4(+)	CD16_monos_MPNAML_no_chr21amp	0.54333933954605
2205	TFEB(+)	CD16_monos_MPNAML_no_chr21amp	1.78444953564319
2206	THRA(+)	CD16_monos_MPNAML_no_chr21amp	1.35088159508907
2210	USF1(+)	CD16_monos_MPNAML_no_chr21amp	2.33453819603307
2211	USF2(+)	CD16_monos_MPNAML_no_chr21amp	1.63702653889952
2212	VDR(+)	CD16_monos_MPNAML_no_chr21amp	2.30516510058727
2213	VENTX(+)	CD16_monos_MPNAML_no_chr21amp	2.5036970691253
2215	WRNIP1(+)	CD16_monos_MPNAML_no_chr21amp	1.2851342852313
2217	XBP1(+)	CD16_monos_MPNAML_no_chr21amp	0.150793995446613
2218	XRCC4(+)	CD16_monos_MPNAML_no_chr21amp	0.566221590674076
2224	ZBTB7A(+)	CD16_monos_MPNAML_no_chr21amp	2.01294047973955
2225	ZBTB7B(+)	CD16_monos_MPNAML_no_chr21amp	1.5735672732888
2226	ZEB1(+)	CD16_monos_MPNAML_no_chr21amp	0.00281585092396391
2229	ZFX(+)	CD16_monos_MPNAML_no_chr21amp	1.51976719264892
2230	ZMIZ1(+)	CD16_monos_MPNAML_no_chr21amp	0.940649820668987
2233	ZNF143(+)	CD16_monos_MPNAML_no_chr21amp	0.758527194442828
2238	ZNF263(+)	CD16_monos_MPNAML_no_chr21amp	1.47663543579613
2242	ZNF366(+)	CD16_monos_MPNAML_no_chr21amp	2.36607527237031
2245	ZNF467(+)	CD16_monos_MPNAML_no_chr21amp	2.04620902416701
2248	ZNF563(+)	CD16_monos_MPNAML_no_chr21amp	0.0361119939462988
2251	ZNF697(+)	CD16_monos_MPNAML_no_chr21amp	1.96621684209907
2253	ZNF787(+)	CD16_monos_MPNAML_no_chr21amp	1.68495511282209
2254	ZNF821(+)	CD16_monos_MPNAML_no_chr21amp	1.67570472015768
2256	ZSCAN32(+)	CD16_monos_MPNAML_no_chr21amp	0.000298117626975791
2259	ARG1(+)	EoBaMa_HC_no_chr21amp	0.265085210685131
2261	ARNT(+)	EoBaMa_HC_no_chr21amp	0.539582458360796
2262	ARX(+)	EoBaMa_HC_no_chr21amp	0.856568016610815
2265	ATF2(+)	EoBaMa_HC_no_chr21amp	1.90197085476703
2266	ATF3(+)	EoBaMa_HC_no_chr21amp	0.516307109097127
2267	ATF4(+)	EoBaMa_HC_no_chr21amp	0.00993081378521724
2269	ATF7(+)	EoBaMa_HC_no_chr21amp	0.326191007025994
2276	BCLAF1(+)	EoBaMa_HC_no_chr21amp	1.32439278075699
2277	BDP1(+)	EoBaMa_HC_no_chr21amp	1.00871148477328
2280	BRF1(+)	EoBaMa_HC_no_chr21amp	0.739487833069881
2284	CEBPE(+)	EoBaMa_HC_no_chr21amp	0.51697399567708
2285	CEBPG(+)	EoBaMa_HC_no_chr21amp	1.42794421164177
2288	CHD1(+)	EoBaMa_HC_no_chr21amp	1.27315525546176
2289	CHD2(+)	EoBaMa_HC_no_chr21amp	1.81972957335325
2291	CLOCK(+)	EoBaMa_HC_no_chr21amp	0.76251183987151
2292	CREB1(+)	EoBaMa_HC_no_chr21amp	0.74211062360267
2293	CREB3(+)	EoBaMa_HC_no_chr21amp	0.445372913725294
2295	CREB3L2(+)	EoBaMa_HC_no_chr21amp	2.6997282858643
2296	CREB5(+)	EoBaMa_HC_no_chr21amp	0.322525590359887
2299	CTCF(+)	EoBaMa_HC_no_chr21amp	0.85951643743272
2300	CUX1(+)	EoBaMa_HC_no_chr21amp	1.19158100312592
2302	DBP(+)	EoBaMa_HC_no_chr21amp	0.836964627663835
2303	DDIT3(+)	EoBaMa_HC_no_chr21amp	0.503380465858854
2308	E2F3(+)	EoBaMa_HC_no_chr21amp	0.664029785489997
2310	E2F6(+)	EoBaMa_HC_no_chr21amp	0.00787080569268057
2313	EGR1(+)	EoBaMa_HC_no_chr21amp	0.466985251834884
2316	EGR4(+)	EoBaMa_HC_no_chr21amp	0.67050925833944
2317	ELF1(+)	EoBaMa_HC_no_chr21amp	0.980080178149106
2318	ELF2(+)	EoBaMa_HC_no_chr21amp	0.820577094935532
2320	ELF4(+)	EoBaMa_HC_no_chr21amp	0.0231273974100322
2322	ELK4(+)	EoBaMa_HC_no_chr21amp	1.75161316124414
2324	EP300(+)	EoBaMa_HC_no_chr21amp	1.06013027079736
2327	ETS2(+)	EoBaMa_HC_no_chr21amp	0.148155950796771
2331	ETV6(+)	EoBaMa_HC_no_chr21amp	0.316273532777169
2333	EZH2(+)	EoBaMa_HC_no_chr21amp	1.39613675999322
2335	FOS(+)	EoBaMa_HC_no_chr21amp	0.0766365964688198
2336	FOSB(+)	EoBaMa_HC_no_chr21amp	0.418284672503834
2337	FOSL1(+)	EoBaMa_HC_no_chr21amp	0.588114476003795
2340	FOXC1(+)	EoBaMa_HC_no_chr21amp	0.733326877054441
2343	FOXJ1(+)	EoBaMa_HC_no_chr21amp	0.811712060854758
2345	FOXJ3(+)	EoBaMa_HC_no_chr21amp	0.730782198216857
2347	FOXK2(+)	EoBaMa_HC_no_chr21amp	0.688076535767443
2350	FOXN3(+)	EoBaMa_HC_no_chr21amp	0.805049471093287
2352	FOXO3(+)	EoBaMa_HC_no_chr21amp	1.80852126160827
2355	FOXP1(+)	EoBaMa_HC_no_chr21amp	0.0200957332224472
2356	FOXP2(+)	EoBaMa_HC_no_chr21amp	0.49741850485402
2358	GATA1(+)	EoBaMa_HC_no_chr21amp	0.0573974348583552
2359	GATA2(+)	EoBaMa_HC_no_chr21amp	0.610700461089486
2367	GTF2B(+)	EoBaMa_HC_no_chr21amp	0.684227400776518
2370	GTF3A(+)	EoBaMa_HC_no_chr21amp	0.120415329630237
2371	HBP1(+)	EoBaMa_HC_no_chr21amp	1.65110673282511
2372	HCFC1(+)	EoBaMa_HC_no_chr21amp	0.985615520294105
2373	HDAC2(+)	EoBaMa_HC_no_chr21amp	0.893291096297958
2375	HES6(+)	EoBaMa_HC_no_chr21amp	0.0919609647465693
2376	HES7(+)	EoBaMa_HC_no_chr21amp	0.0378253795179028
2380	HMGA1(+)	EoBaMa_HC_no_chr21amp	0.382579557942127
2381	HMGB3(+)	EoBaMa_HC_no_chr21amp	0.779513054385156
2384	HOXA10(+)	EoBaMa_HC_no_chr21amp	1.97930830739241
2385	HOXA2(+)	EoBaMa_HC_no_chr21amp	1.46004441988154
2388	HOXA5(+)	EoBaMa_HC_no_chr21amp	0.265657832235381
2390	HOXA9(+)	EoBaMa_HC_no_chr21amp	1.29939124169387
2392	HOXB5(+)	EoBaMa_HC_no_chr21amp	0.302508740327218
2393	HOXB6(+)	EoBaMa_HC_no_chr21amp	0.224945736249465
2394	HOXB9(+)	EoBaMa_HC_no_chr21amp	0.0854313706690527
2396	HSPA5(+)	EoBaMa_HC_no_chr21amp	2.08172921130128
2398	IKZF2(+)	EoBaMa_HC_no_chr21amp	1.38368440941313
2399	IRF1(+)	EoBaMa_HC_no_chr21amp	0.15048117095597
2405	IRX1(+)	EoBaMa_HC_no_chr21amp	0.475554410273535
2407	IRX5(+)	EoBaMa_HC_no_chr21amp	1.31099487978924
2410	JUN(+)	EoBaMa_HC_no_chr21amp	1.05464230308725
2412	JUND(+)	EoBaMa_HC_no_chr21amp	0.938777706994108
2413	KDM5A(+)	EoBaMa_HC_no_chr21amp	1.77252974801324
2417	KLF13(+)	EoBaMa_HC_no_chr21amp	0.117175542593213
2423	KLF5(+)	EoBaMa_HC_no_chr21amp	1.27242613719944
2425	KLF9(+)	EoBaMa_HC_no_chr21amp	0.357916759909531
2431	MAFA(+)	EoBaMa_HC_no_chr21amp	0.420626705688192
2433	MAFF(+)	EoBaMa_HC_no_chr21amp	1.32669708155473
2436	MAX(+)	EoBaMa_HC_no_chr21amp	0.873953311836453
2438	MECP2(+)	EoBaMa_HC_no_chr21amp	1.04484885835536
2442	MIXL1(+)	EoBaMa_HC_no_chr21amp	0.347911123029909
2449	MXD4(+)	EoBaMa_HC_no_chr21amp	0.167616789175989
2451	MYB(+)	EoBaMa_HC_no_chr21amp	0.890433821223871
2453	MYC(+)	EoBaMa_HC_no_chr21amp	0.63474375766505
2454	MYEF2(+)	EoBaMa_HC_no_chr21amp	0.504382266312273
2457	NFATC2(+)	EoBaMa_HC_no_chr21amp	0.336555450671136
2458	NFATC3(+)	EoBaMa_HC_no_chr21amp	1.10717307540877
2463	NFKB1(+)	EoBaMa_HC_no_chr21amp	0.354819301961774
2465	NFYA(+)	EoBaMa_HC_no_chr21amp	0.353275242932953
2469	NR2C1(+)	EoBaMa_HC_no_chr21amp	2.49550884918017
2472	NRF1(+)	EoBaMa_HC_no_chr21amp	1.25919014035036
2473	ONECUT2(+)	EoBaMa_HC_no_chr21amp	0.505627161625832
2475	PATZ1(+)	EoBaMa_HC_no_chr21amp	0.136056890731349
