TF	Target	Importance
141	JUND	DYRK1A	0.689456919313738
142	TCF7L2	DYRK1A	0.687021782069356
143	PURA	DYRK1A	0.685972223912361
144	XG	DYRK1A	0.682033607743763
145	UBTF	DYRK1A	0.660510079670705
146	RAB14	DYRK1A	0.65992483508338
147	RB1	DYRK1A	0.645721945193582
148	ZNF124	DYRK1A	0.619356340378888
149	ZNF276	DYRK1A	0.619292519770934
150	TRPS1	DYRK1A	0.616525382272098
151	R3HDM2	DYRK1A	0.61512490586639
152	MYBL1	DYRK1A	0.610432271106772
153	CTCF	DYRK1A	0.576562999762161
154	ZNF782	DYRK1A	0.576393388136938
155	MXD1	DYRK1A	0.560615055276416
156	PAXIP1	DYRK1A	0.550856481786586
157	ZNF257	DYRK1A	0.545129284128256
158	HOXB3	DYRK1A	0.544872206173789
159	AGAP2	DYRK1A	0.531682021682867
160	CTBP2	DYRK1A	0.53069350257294
161	STAT4	DYRK1A	0.529250167121087
162	LARP4	DYRK1A	0.528631255560551
163	ZNF333	DYRK1A	0.512695745019412
164	MXD4	DYRK1A	0.51009742471192
165	MSRA	DYRK1A	0.508336288830952
166	TFEC	DYRK1A	0.506838168143569
167	CRX	DYRK1A	0.506632234736964
168	CERS6	DYRK1A	0.50290813717001
169	HMBOX1	DYRK1A	0.496097886483945
170	DTL	DYRK1A	0.476274945909157
171	SUZ12	DYRK1A	0.443131776390725
172	CTNNB1	DYRK1A	0.439146254652818
173	BRF1	DYRK1A	0.429030340342812
174	FOXM1	DYRK1A	0.412237737521128
175	ZNF501	DYRK1A	0.396265643806362
176	JUN	DYRK1A	0.382153232151879
177	ZBTB26	DYRK1A	0.380106688659688
178	ZNF683	DYRK1A	0.378724196714349
179	ATF2	DYRK1A	0.37751336816417
180	XBP1	DYRK1A	0.368704141203819
181	RPL35	DYRK1A	0.367796797954324
182	HNRNPH3	DYRK1A	0.366306396154449
183	THRB	DYRK1A	0.353604854231074
184	PBX3	DYRK1A	0.353308426995695
185	FOS	DYRK1A	0.348370077875017
186	RUNX3	DYRK1A	0.345891256367588
187	ELF2	DYRK1A	0.344546871661944
188	UBB	DYRK1A	0.341697625755515
189	ZNF146	DYRK1A	0.331569229097042
190	HOXA6	DYRK1A	0.320677307022599
191	MAGOH	DYRK1A	0.306428191707252
192	ZNF37A	DYRK1A	0.305958403361006
193	SIN3A	DYRK1A	0.300238044340557
194	NR2C1	DYRK1A	0.298097406451323
195	PLAG1	DYRK1A	0.297393831818612
196	FUBP1	DYRK1A	0.297256157882784
197	HLTF	DYRK1A	0.289075833323386
198	NCOR2	DYRK1A	0.288933852320695
199	SETBP1	DYRK1A	0.282287350557044
200	ZNF248	DYRK1A	0.281450554851752
201	ZNF717	DYRK1A	0.280834647375226
202	DR1	DYRK1A	0.278145950466516
203	H1FX	DYRK1A	0.274787305700945
204	BCLAF1	DYRK1A	0.270705828600695
205	MYLK	DYRK1A	0.265177438307383
206	NPDC1	DYRK1A	0.257438457191115
207	NR6A1	DYRK1A	0.256110023412958
208	IRF9	DYRK1A	0.255164817060439
209	FLI1	DYRK1A	0.25049632227593
210	HES1	DYRK1A	0.249973412044962
211	ZNF326	DYRK1A	0.249476099265738
212	ZNF432	DYRK1A	0.246387900305681
213	GTF2A2	DYRK1A	0.242221197063204
214	ZNF586	DYRK1A	0.241594991106844
215	SCMH1	DYRK1A	0.240751160404609
216	IKZF3	DYRK1A	0.238424487106615
217	ZNF726	DYRK1A	0.236644005584761
218	ZKSCAN1	DYRK1A	0.232163536894681
219	ZNF266	DYRK1A	0.231720907954108
220	ELK4	DYRK1A	0.230854757331408
221	ZNF532	DYRK1A	0.223187545015738
222	H2AFZ	DYRK1A	0.222582989017295
223	ZNF566	DYRK1A	0.221898373020975
224	NONO	DYRK1A	0.221120826655725
225	AR	DYRK1A	0.220321570824758
226	ETV6	DYRK1A	0.219451290487547
227	ZNF44	DYRK1A	0.217933735762129
228	ARNT	DYRK1A	0.216903372682015
229	HDAC1	DYRK1A	0.215379962581592
230	HHEX	DYRK1A	0.213647907134589
231	SOX4	DYRK1A	0.212676862505011
232	DNMT3A	DYRK1A	0.212072802157525
233	ETV3	DYRK1A	0.211674589077471
234	SRRM3	DYRK1A	0.206633721113618
235	ZNF385D	DYRK1A	0.205574479857998
236	GTF2H3	DYRK1A	0.205306210104043
237	ZBTB44	DYRK1A	0.204514012671661
238	HSPA5	DYRK1A	0.201951476612655
239	PIK3C3	DYRK1A	0.199397994964788
240	ZNF419	DYRK1A	0.19894026096098
241	FOXC1	DYRK1A	0.197879002818296
242	NR3C2	DYRK1A	0.19584860291039
243	CYB5R1	DYRK1A	0.195189454665499
244	KLF7	DYRK1A	0.195169663427115
245	BDP1	DYRK1A	0.193974189069934
246	REL	DYRK1A	0.192702411283749
247	ZNF33A	DYRK1A	0.188174285542533
248	FOXO1	DYRK1A	0.187214806767409
249	GTF3A	DYRK1A	0.186488883706261
250	ZBTB16	DYRK1A	0.184216270396729
251	ESR1	DYRK1A	0.180363421628072
252	SP110	DYRK1A	0.179136460192505
253	E2F3	DYRK1A	0.178877983173736
254	RAB18	DYRK1A	0.175644457913251
255	ZNF883	DYRK1A	0.173519037487005
256	ZDHHC15	DYRK1A	0.172090732679864
257	ZFP82	DYRK1A	0.171689656335081
258	ZNF345	DYRK1A	0.171061692206797
259	MESP2	DYRK1A	0.170588195746777
260	JUNB	DYRK1A	0.167037932131409
261	WRNIP1	DYRK1A	0.166614443153963
262	BPTF	DYRK1A	0.164186967001025
263	ZNF26	DYRK1A	0.163428061816743
264	TRMT1	DYRK1A	0.162302897815692
265	PSMC2	DYRK1A	0.160365329187447
266	ZNF431	DYRK1A	0.154851419936274
267	ZNF721	DYRK1A	0.154697893062896
268	KMT2A	DYRK1A	0.152386720797231
269	FOSB	DYRK1A	0.151775116639549
270	ZNF143	DYRK1A	0.151115215016504
271	TCF15	DYRK1A	0.150156553866309
272	CREB3L2	DYRK1A	0.150001813448457
273	SUPT20H	DYRK1A	0.149978143694485
274	CEBPA	DYRK1A	0.147356336987995
275	ZNF184	DYRK1A	0.146977788233422
276	RNF138	DYRK1A	0.14592775429199
277	SPATS2	DYRK1A	0.145904418764209
278	HLF	DYRK1A	0.141024802355692
279	TRIM33	DYRK1A	0.140605416699647
280	ZNF439	DYRK1A	0.13790874711269
281	HES4	DYRK1A	0.137819253297855
282	DNAJC21	DYRK1A	0.137723402021151
283	GIT2	DYRK1A	0.134865404530478
284	ZNF880	DYRK1A	0.134108623804937
285	IVD	DYRK1A	0.13358691709504
286	IRF8	DYRK1A	0.13355408415945
287	TBPL1	DYRK1A	0.13288590376943
288	STAU2	DYRK1A	0.131731230761333
289	STAT3	DYRK1A	0.13060072936481
290	ZNF107	DYRK1A	0.130375088124643
291	ZNF217	DYRK1A	0.129167377304516
292	RORA	DYRK1A	0.128654582861052
293	VAMP3	DYRK1A	0.126341818810732
294	SMARCA5	DYRK1A	0.126248959481103
295	SMAD1	DYRK1A	0.124399819526251
296	ZNF362	DYRK1A	0.124000970464744
297	BATF	DYRK1A	0.123235193681241
298	ZNF605	DYRK1A	0.123066967451196
299	ZNF43	DYRK1A	0.120210539252454
300	OVOL2	DYRK1A	0.12018287911287
301	AKR1A1	DYRK1A	0.120182633202673
302	BCL3	DYRK1A	0.119744164884885
303	ELF4	DYRK1A	0.118860498519293
304	ZNF567	DYRK1A	0.117552050106659
305	KLRG1	DYRK1A	0.115626031765868
306	TAGLN2	DYRK1A	0.111626506271578
307	MLXIP	DYRK1A	0.110260739901203
308	KDM2B	DYRK1A	0.110132978799382
309	ZNF84	DYRK1A	0.109754626378892
310	KDM4C	DYRK1A	0.109521397984507
311	ZNF658	DYRK1A	0.107830884659066
312	NFKB1	DYRK1A	0.106952860543768
313	ZNF75A	DYRK1A	0.106667725177771
314	ZNF180	DYRK1A	0.103412261262122
315	AHCTF1	DYRK1A	0.103235768593126
316	TSC22D4	DYRK1A	0.101764344544883
317	ZNF141	DYRK1A	0.101725207464613
318	LCORL	DYRK1A	0.101224234380772
319	ZNF761	DYRK1A	0.100968756584396
320	STAT5B	DYRK1A	0.100227681220257
321	KLF10	DYRK1A	0.0989719092262242
322	RNASEH2C	DYRK1A	0.0978491545166111
323	ZNF440	DYRK1A	0.0953369242834421
324	HIF3A	DYRK1A	0.0944830445318998
325	HOXB4	DYRK1A	0.0944355294244444
326	FBXL19	DYRK1A	0.0943020352903156
327	ZNF646	DYRK1A	0.0936552610359302
328	GTF2I	DYRK1A	0.0932253400010292
329	KDM5A	DYRK1A	0.0924588342480478
330	TFCP2	DYRK1A	0.0915825206372547
331	EP300	DYRK1A	0.0905250686585451
332	NMI	DYRK1A	0.0890572570140152
